review_decision,seed_name,resolved_google_name,google_types,google_maps_url,google_place_id,highway_name,route_context,region,proxy_type,cleanliness_tier,source_category,restroom_confidence,distance_from_highway_meters,local_notes,source_evidence,id,matched_at,updated_at
,Cube Stop,Polar Bear Ice Cream Sundaes - Madurai,ice_cream_shop|dessert_restaurant|candy_store|buffet_restaurant|dessert_shop|confectionery|food_store|restaurant|food|store|point_of_interest|establishment,https://maps.google.com/?cid=8024383022496299726&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJIUV6nnzFADsRzjqRDdhVXG8,NH-785,Madurai - Natham - Thuvarankurichi Road,India,wayside_amenity,tier_1,official_wayside_amenity,0.9,6,Rejected false-positive Google match: seed did not match resolved place name | Cube Highways amenity with dedicated Wash Stop,Cube Highways amenity with dedicated Wash Stop,09bff38c-b210-4d68-a460-cc1516cae813,2026-05-11T08:46:56.517+00:00,2026-05-11T08:46:56.517+00:00
,Cube Stop,Reliance SMART Superstore,hypermarket|shopping_mall|supermarket|asian_grocery_store|grocery_store|food_store|wholesaler|food_delivery|food|store|point_of_interest|establishment,https://maps.google.com/?cid=8477247709132564637&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJn4PQyx3HADsRnSjXh-A7pXU,NH-785,Madurai - Natham - Thuvarankurichi Road,India,wayside_amenity,tier_1,official_wayside_amenity,0.9,8,Rejected false-positive Google match: seed did not match resolved place name | Cube Highways amenity with dedicated Wash Stop,Cube Highways amenity with dedicated Wash Stop,6c67a379-7d6b-4c8f-9040-4cf714624fd2,2026-05-11T08:46:56.517+00:00,2026-05-11T08:46:56.517+00:00
,Cube Stop,Agra - Lucknow Expy Flyover,bridge|transportation_service|point_of_interest|establishment,https://maps.google.com/?cid=9223675454111322409&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJOfmVFABvdDkRKZHL1fQTAYA,Agra-Lucknow Expressway,Agra-Lucknow,North India,wayside_amenity,tier_1,official_wayside_amenity,0.9,71,Rejected false-positive Google match: seed did not match resolved place name | Cube Highways amenity with dedicated Wash Stop,Cube Highways amenity with dedicated Wash Stop,cfc14a78-9e7b-4d34-a387-979e97055b5f,2026-05-10T18:59:28.876+00:00,2026-05-10T18:59:28.876+00:00
,Cube Stop,Bus Stand (Supaul),travel_agency|point_of_interest|service|establishment,https://maps.google.com/?cid=7816389956317689373&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJm9FjfHVD7jkRHTY_lEBleWw,NH-327A,NH-327A,India,wayside_amenity,tier_1,official_wayside_amenity,0.9,78,Rejected false-positive Google match: seed did not match resolved place name | Cube Highways amenity with dedicated Wash Stop,Cube Highways amenity with dedicated Wash Stop,29a8c04b-1d63-4654-98a3-9076da4689db,2026-05-11T08:46:56.517+00:00,2026-05-11T08:46:56.517+00:00
,Cube Stop,"Crossword, SG Road, Ahmedabad",book_store|store|point_of_interest|establishment,https://maps.google.com/?cid=13240886553192811287&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJA-0U-kebXjkRF8tNuioUwbc,Sarkhej-Gandhinagar Highway,Ahmedabad-Gandhinagar,North & West India,wayside_amenity,tier_1,official_wayside_amenity,0.9,181,Rejected false-positive Google match: seed did not match resolved place name | Cube Highways amenity with dedicated Wash Stop,Cube Highways amenity with dedicated Wash Stop,f1ca271e-0491-426d-b9f8-a399b624f71c,2026-05-10T18:59:28.876+00:00,2026-05-10T18:59:28.876+00:00
,Cube Stop,TECH CUBE,electronics_store|home_goods_store|store|point_of_interest|service|establishment,https://maps.google.com/?cid=2972028538432031018&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJE4EHph1hWDcRKomQjzXEPik,NH-117A,NH-117A,India,wayside_amenity,tier_1,official_wayside_amenity,0.9,217,Rejected false-positive Google match: seed did not match resolved place name | Cube Highways amenity with dedicated Wash Stop,Cube Highways amenity with dedicated Wash Stop,3198da37-9efc-4b45-b6ec-0096e7c48166,2026-05-11T08:46:56.517+00:00,2026-05-11T08:46:56.517+00:00
,Cube Stop,Café School,restaurant|fine_dining_restaurant|hamburger_restaurant|breakfast_restaurant|american_restaurant|pizza_restaurant|north_indian_restaurant|indian_restaurant|coffee_shop|cafe|food_store|store|food|point_of_interest|establishment,https://maps.google.com/?cid=6195504579003593257&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJeT0ImUN76DsRKbLQ45ba-lU,NH-166A,Alibag Road,India,wayside_amenity,tier_1,official_wayside_amenity,0.9,250,Rejected false-positive Google match: seed did not match resolved place name | Cube Highways amenity with dedicated Wash Stop,Cube Highways amenity with dedicated Wash Stop,3f7621c4-d258-4245-9d07-54c6f63f6d7e,2026-05-11T08:46:56.517+00:00,2026-05-11T08:46:56.517+00:00
,Cube Stop,The Roof Top Restaurant,indian_restaurant|restaurant|food|point_of_interest|establishment,https://maps.google.com/?cid=6430639602133138349&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJFQn9RiT9jDkRrXu0q6U4Plk,NH-19,Aurangabad Bihar,East & Central India,wayside_amenity,tier_1,official_wayside_amenity,0.9,314,Rejected false-positive Cube Stop match: Google resolved to unrelated place name,Cube Highways amenity with dedicated Wash Stop,ed19a477-00d6-47ca-8b0e-f217ae6e083e,2026-05-10T02:53:25.822+00:00,2026-05-10T09:24:00.463+00:00
,Cube Stop,Icecube Digital,point_of_interest|service|establishment,https://maps.google.com/?cid=14570569301972849292&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJKcXDatmbXjkRjJJN-5QPNco,Sarkhej-Gandhinagar Highway,Ahmedabad-Gandhinagar,North & West India,wayside_amenity,tier_1,official_wayside_amenity,0.9,318,Rejected false-positive Cube Stop match: Google resolved to unrelated place name,Cube Highways amenity with dedicated Wash Stop,d00e351b-a763-4350-b31c-4245142a36b3,2026-05-10T02:53:25.822+00:00,2026-05-10T09:24:00.463+00:00
,Cube Stop,Sri Maheshwari Enterprises - Madurai,toy_store|store|point_of_interest|establishment,https://maps.google.com/?cid=6711222326613415723&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJzzBOZqjHADsRK5d2AiYNI10,NH-785,Madurai - Natham - Thuvarankurichi Road,India,wayside_amenity,tier_1,official_wayside_amenity,0.9,432,Rejected false-positive Google match: seed did not match resolved place name | Cube Highways amenity with dedicated Wash Stop,Cube Highways amenity with dedicated Wash Stop,a9b629c7-50ad-4424-9fa4-185824ba55fc,2026-05-11T08:46:56.517+00:00,2026-05-11T08:46:56.517+00:00
