review_decision,seed_name,resolved_google_name,google_types,google_maps_url,google_place_id,highway_name,route_context,region,proxy_type,cleanliness_tier,source_category,restroom_confidence,distance_from_highway_meters,local_notes,source_evidence,id,matched_at,updated_at
,Cube Stop,BERRIES HILLS,family_restaurant|restaurant|food|point_of_interest|establishment,https://maps.google.com/?cid=16791995790088866432&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJIcaMfABHCTkRgAoaCjQnCek,NH-58,Delhi-Haridwar,North India,wayside_amenity,tier_1,official_wayside_amenity,0.9,438,Rejected false-positive Cube Stop match: Google resolved to unrelated place name,Cube Highways amenity with dedicated Wash Stop,62a49dbe-b32f-4278-9612-030aa8a7e5ac,2026-05-10T02:53:25.822+00:00,2026-05-10T09:24:00.463+00:00
,Cube Stop,S G Business Hub,shopping_mall|point_of_interest|establishment,https://maps.google.com/?cid=8252730804131850365&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJmwVU0zGDXjkRfegzB_GWh3I,Sarkhej-Gandhinagar Highway,Ahmedabad-Gandhinagar,North & West India,wayside_amenity,tier_1,official_wayside_amenity,0.9,919,Rejected false-positive Cube Stop match: Google resolved to unrelated place name,Cube Highways amenity with dedicated Wash Stop,47ab56a1-4c13-43a2-9903-8aadf4507b60,2026-05-10T02:53:25.822+00:00,2026-05-10T09:24:00.463+00:00
,Cube Stop,National Highway 6,route,"https://maps.google.com/?q=NH6,+Shillong,+Meghalaya,+India&ftid=0x375af449fa5ee231:0x9117bc2b3b6b218a&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA",Eh9OSDYsIFNoaWxsb25nLCBNZWdoYWxheWEsIEluZGlhIi4qLAoUChIJMeJe-kn0WjcRiiFrOyu8F5ESFAoSCX8gvTSPflA3ESuIjxD3LUhi,NH-6,Guwahati-Shillong,North-East India,wayside_amenity,tier_1,official_wayside_amenity,0.9,528,Rejected false-positive Cube Stop match: Google resolved to unrelated place name,Cube Highways amenity with dedicated Wash Stop,11bb76a7-05a9-4302-a5b7-1c6ce2585695,2026-05-10T02:53:25.822+00:00,2026-05-10T09:24:00.463+00:00
,Cube Stop,Megham: The rooftop restaurant & cafe,restaurant|food|point_of_interest|establishment,https://maps.google.com/?cid=6715846128334069076&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJ7W5l8p1HCTkRVN2IvXh6M10,NH-58,Delhi-Haridwar,North India,wayside_amenity,tier_1,official_wayside_amenity,0.9,1911,Rejected false-positive Cube Stop match: Google resolved to unrelated place name,Cube Highways amenity with dedicated Wash Stop,92eab365-0fda-4896-b5d4-6d4c2fae4c21,2026-05-10T02:53:25.822+00:00,2026-05-10T09:24:00.463+00:00
,Cube Stop,Rooftop Restaurant,restaurant|food|point_of_interest|establishment,https://maps.google.com/?cid=14803290156457605668&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJfbDw8IlHCTkRJDqxUvfZb80,NH-58,Delhi-Haridwar,North India,wayside_amenity,tier_1,official_wayside_amenity,0.9,1555,Rejected false-positive Cube Stop match: Google resolved to unrelated place name,Cube Highways amenity with dedicated Wash Stop,ea46a485-7597-4ae9-88e4-5a5a287575c9,2026-05-10T02:53:25.822+00:00,2026-05-10T09:24:00.463+00:00
,Cube Stop,"Magson - Gandhinagar, Infocity",health_food_store|ice_cream_shop|chocolate_shop|candy_store|dessert_shop|confectionery|grocery_store|restaurant|food_store|store|food|point_of_interest|health|establishment,https://maps.google.com/?cid=11438947707408752271&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJZyqE4jkqXDkRjx5ecFVOv54,Sarkhej-Gandhinagar Highway,Ahmedabad-Gandhinagar,North & West India,wayside_amenity,tier_1,official_wayside_amenity,0.9,484,Rejected false-positive Cube Stop match: Google resolved to unrelated place name,Cube Highways amenity with dedicated Wash Stop,2a4987eb-9df3-43fd-820c-e8a85027104a,2026-05-10T02:53:25.822+00:00,2026-05-10T09:24:00.463+00:00
,Cube Stop,The Roof Top Restaurant,indian_restaurant|restaurant|food|point_of_interest|establishment,https://maps.google.com/?cid=6430639602133138349&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJFQn9RiT9jDkRrXu0q6U4Plk,NH-19,Aurangabad Bihar,East & Central India,wayside_amenity,tier_1,official_wayside_amenity,0.9,314,Rejected false-positive Cube Stop match: Google resolved to unrelated place name,Cube Highways amenity with dedicated Wash Stop,ed19a477-00d6-47ca-8b0e-f217ae6e083e,2026-05-10T02:53:25.822+00:00,2026-05-10T09:24:00.463+00:00
,Cube Stop,Icecube Digital,point_of_interest|service|establishment,https://maps.google.com/?cid=14570569301972849292&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJKcXDatmbXjkRjJJN-5QPNco,Sarkhej-Gandhinagar Highway,Ahmedabad-Gandhinagar,North & West India,wayside_amenity,tier_1,official_wayside_amenity,0.9,318,Rejected false-positive Cube Stop match: Google resolved to unrelated place name,Cube Highways amenity with dedicated Wash Stop,d00e351b-a763-4350-b31c-4245142a36b3,2026-05-10T02:53:25.822+00:00,2026-05-10T09:24:00.463+00:00
,Cube Stop,Hotel Highway King Bagru,hotel|fast_food_restaurant|lodging|restaurant|food|point_of_interest|establishment,https://maps.google.com/?cid=12832506692146283673&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJdxz0sEtIbDkRmcQz09g4FrI,NH-48,Jaipur-Ajmer,North & West India,wayside_amenity,tier_1,official_wayside_amenity,0.9,1513,Rejected false-positive Cube Stop match: Google resolved to unrelated place name,Cube Highways amenity with dedicated Wash Stop,23df1fd5-90d2-47fa-8ce1-e6fd27dadf43,2026-05-10T02:53:25.822+00:00,2026-05-10T09:24:00.463+00:00
,Cube Stop,SHASHWAT RESTAURANT & BANQUET HALL,fine_dining_restaurant|banquet_hall|vegetarian_restaurant|restaurant|food|event_venue|point_of_interest|establishment,https://maps.google.com/?cid=16525563505499839856&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,ChIJKTv2TwD9jDkRcB16unOYVuU,NH-19,Aurangabad Bihar,East & Central India,wayside_amenity,tier_1,official_wayside_amenity,0.9,1423,Rejected false-positive Cube Stop match: Google resolved to unrelated place name,Cube Highways amenity with dedicated Wash Stop,ba3005ed-ab38-4d41-a000-6f0f18c3152e,2026-05-10T02:53:25.822+00:00,2026-05-10T09:24:00.463+00:00
